id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z22ctpkg3lf2wn3ssacdp434rz2hlylmsdqlwaye2wdw03c010c,Aviator168,43 minutes ago,1506538793241,你講咁多嘢做乜嘢喎. 你又唔係今日先識認識共產黨,0,false,0,,,,,,
z22yjjdyqkz5ihmpc04t1aokggoydyze1c41l52cyb0wbk0h00410,xiao L,2 hours ago,1506534173246,袁腾飞这个人我不了解，至于凤凰卫视三档节目停播，我想除了当事人，其他的揣测都不一定正确，说真的，凤凰卫视受众本来就很少，在这么小的受众里，有些节目受众那就更小了。锵锵三人行停播早已在预料之中。节目播出时间越来越往后退就是证据之一吧！此外节目因为是录播，而且一次录播好几集，所以讨论内容相对网络比较滞后，就不那么吸引人了！另外两个节目，说实话，除了看过宣传片，正片从来没看过。受众小，电视台自然不好拉广告，作为私营电视台，必须靠广告赚钱，停播的这三档节目连广告赞助都没有，被停播也很正常！不过有时候触碰红线也是有的！所以具体原因到底是啥，吃瓜群众也想知道！,0,false,0,,,,,,
z22suhhxvpj0f5tfaacdp432c3lnuv1uml5rgetnp4xw03c010c,ZX Chen,4 hours ago,1506526973250,其实老窦讲的已经比较吞吞吐吐的了，但没什么新浪潮，姓袁的我就不想浪费时间听他放屁。当新闻机构的当局或政府不满意某个人或某个节目时，在哪个国家都会被当局封杀的。但在西方多党派国家里至少一定会有反对党就封杀言论或节目来借题发挥，污蔑执政党，但这些政客们吵来吵去也就是毛所说的敌人反对的我们一定赞成，我们反对的敌人一定会👍成，我们老百姓每天看到他们在国会里吵闹，只是在不同的时间段里的政客们均处在不断交换位置而已。,0,false,0,,,,,,
z22zytgxszugt3ojq04t1aokgg25tjpgf3xkwwm50ttvbk0h00410,Elisabeth Sun,14 hours ago,1506490973255,好不容易听到一个能心平气和说话的人，不过。。。看来这位仁兄是不打算回中国了,0,false,0,,,,,,
z22tdrczuzjlflmx104t1aokguwxqtshl5o0aslg3hbnbk0h00410,good man,16 hours ago,1506483773258,这个袁腾飞写的书无聊至极,0,false,0,,,,,,
z23lhvnpmvnczr04z04t1aokg5qbwqc2yk4o03qp3xgbbk0h00410,小李子 HAHA,1 day ago,1506454973262,袁腾飞要是被弄了，我就真的宁愿加入别国国籍了，袁腾飞是真正的中国人，中国文化只所在，一个中国如此爱自己文化的人，一个正直的人，因为言论自由批判政府就被整，就是违反了中国自己的宪法，一个没有文化，文明，法制的国家，中国已经亡国了，没必要做个散发着苏俄余臭的奴隶假中国人，赶紧入别的国籍吧。,0,false,0,,,,,,
z220tniawzury1xkeacdp43bb00lymzqb2leqmlfa2tw03c010c,b c,1 day ago,1506454973267,在中国只要不谈政治问题基本上都是自由的，以至于中国社会不泛政治，导致对政治有兴趣的老百姓没有了很好的发挥空间，还是不泛政治的好，看看现在的台湾就是个反面教材。,0,false,0,,,,,,
z221fbsizoindj4xg04t1aokg23axna0ier1a1xvpwkxbk0h00410,潘俊,1 day ago,1506454973311,"开头讲98年开播的‘锵锵三人行’被停播，袁腾飞微博被清空。18:12 2017/9/26
02分20秒：表示袁腾飞为了生意能做得下去不被中共封了，只能限制言论，这点各大论坛都有，有些是被迫的，有些则是自发的（本身就是亲共分子或就是共产党）。18:16 2017/9/26
04分50秒：‘《锵锵三人行》直接接受上级的指令来行事’。18:20 2017/9/26
07分33秒：中戏学生‘尹珊珊’因批‘主旋律’影片《战狼2》传闻被开除，至少微博认证被取消。18:25 2017/9/26
12分42秒：我就想这些一反到底的变态怎么会有人支持？当然是靠坑蒙拐骗咯，智商高的不容易骗，于是就杀知识分子、迫害知识分子。18:32 2017/9/26
19分10秒：‘只要是他人的东西和我不一样的我就否定就是极端主义’。18:40 2017/9/26",0,false,0,,,,,,
z23tgljojpugcnugb04t1aokghguxtsqdlmjtr5oxvk3bk0h00410,kevin wang,1 day ago,1506454973318,"袁老师已经不讲中国现代史了,  怎么会犯跸呢 ?",0,false,0,,,,,,
z22esh3immq3fnvzy04t1aokgtffg13n5fawb3qspuhlrk0h00410,Hu Sheng,1 day ago,1506454973323,老梁，老窦，老金，老袁可以一起去打麻将了,0,false,0,,,,,,
z234ydqjhnjgdt4qu04t1aokg2cna0zvnxs0hb4ucbhybk0h00410,Jieming Shao,2 days ago,1506368573329,这盛世，呵呵，如你所愿。,0,false,0,,,,,,
z230cdbagwiixdhqh04t1aokgcxwkvc3o4gvxvu4ks3jrk0h00410,yuan chen,2 days ago,1506368573334,"袁老師是我最喜歡的中國人,沒想到竟然被共產黨封殺了,中共不許中國人有獨立開明的想法!",0,false,0,,,,,,
z23re5gojqbfs5p5504t1aokguv4hfa1wo1xfuw2ns0wbk0h00410,陈雨,3 days ago,1506282173339,说实话我是看不起这些评论时事政治评论的，真让做的话没本事，批评别人倒是一套一套的，少说多做吧各位，中国有这样或者那样的问题，但是总的来讲人民生活水平不断提升，国力不断增长，科级教育各方面不断提高，让你们这些异议分子都坐不住了，中国是该有面墙，隔绝这些杂音，让我们努力发展，让你们干着急,0,false,0,,,,,,
z23ff1w44vndvdypn04t1aokgyqdvnffimne5gib5aeork0h00410,jUish1978,3 days ago,1506282173343,嘿嘿 说得好,0,false,0,,,,,,
z22ectpj5lzat5m0facdp434l5wroh2y5ypor5erqu5w03c010c,韩玉,3 days ago,1506282173346,根本就不涉及意识形态 以及党政国家的问题， 关闭这些电视节目就是要让人民群众不被西方国家的腐蚀思想入侵，引导人民坚守中华文明的根本。支持人是故意要把大家往国家党政的问题上去引导，引导不明真相的人去反对国家，反对社会制度。 大家小心！,0,false,0,,,,,,
z22vvnf4wqrcerd5504t1aokgdyhht50u1xsbawue3z2rk0h00410,范老爹紹宗,3 days ago,1506282173350,該禁就禁，不要向台灣、香港一樣，大家踏破紅線拼命危言聳聽，結果被一些野心政客利用，把台灣變成民粹國家，大家內鬥內耗，弄到現在分裂情況。,0,false,0,,,,,,
z23btjbafqewhrwshacdp4355gg4ozd1ggg12em14ahw03c010c,Veronica wang,3 days ago,1506282173353,播主抓的点有道理，我们对当前现象的评论要看后面的背景。简单的说谁好谁不好，一边倒的评论是我看到中国人发表言论里出现最多的现象。我个人觉得这也是共产党教育下的一个结果。共产党完全排他性就是我们永远无法进入民主的阻碍。公检法不分家也永远没有法治社会。没有一个好的制度前进的制度老百姓就是苟活，歌颂共产党的恐怕是还没受过体制荼毒，又或是体制内的得益者自我麻醉呢。,0,false,0,,,,,,
z223jrvhbpaytzgwu04t1aokgg3txbqheg5f24q33drebk0h00410,bad man,3 days ago,1506282173357,这个鸟人写的书难看的一笔,0,false,0,,,,,,
z22ssdlgumiaullkcacdp4353hutga3zl15eqpohd5pw03c010c,Thomas Yu,3 days ago,1506282173360,先生最后讲的，破坏中国传统血缘制度，想想这些年的政策，还真是，原来改革就是将马列主义完全侵蚀中华人伦啊！中华民族大难临头啊！细思极恐！,0,false,0,,,,,,
z234uj1xctirszeejacdp433iyiktiwij0lctdjxmepw03c010c,Yibo Li,4 days ago,1506195773364,反之来说，文昭的理论是否有一部分也是没有包容性？看了很多现在所谓的相关民主体制/民主言论/民主政策...等等等。一开始也是热血澎湃，但是理性下来想想，人民，或者说自己到底想要的是什么？评判归评判，我们也需要从现实上面来解析。特别俗套的说，如果你是领导人你会怎样做（或者说你对待你自己的家庭你有没有一点点的“威权体制”呢？）？人性的特征是什么（尤其是这个）？民主的基础是什么（我认为是绝大部分人民有理智的/有决策能力。但是整个地球有多少人是呢？有多少人没有私利会从更大的角度上去为整体考虑呢）？等等等...当然，我不认为共产党执政下的做法都是对的，但是我现在也不会片面的寻求所谓的真理！对各个国家而言，每个体制都有威权的含义在，我们需要的是找一个中庸的一个平衡点去评价，而不是我不高兴，所以我不幸福，所以它是都错的？请问何为对错呢？你吃不上饭是对是错？我不让你说脏话是对是错？本来很和谐的状态，因为一个人的情绪带动更多人的情绪去搞一些其实无所谓的斗争是对是错？这些问题真的太核心话了，谁扯都扯不清楚！我听主张言论自由的，所以我觉得是共产党要放开一些讨论，而那些所谓的言论自由国家要收紧一些。多说一点，我觉得袁腾飞老师在课堂上的有些言论有时候的确超过了他的教授范围，课堂上可以灌输史实，但是不好灌输观点，尤其对毛泽东的一些论述有些过了，当然我很尊重他的思考，但是有些对历史的评判，对于学生来说，灌输下的理论用文昭的理论来说是没有包容性的。因为自然而然——他们都认为你说的是对的。,1,false,0,,,,,,
z22bybhoembjx5gjc04t1aokga22xjqemh4w3qbskf2brk0h00410,Li Huang,4 days ago,1506195774053,聊聊中庸之道吧,0,false,0,,,,,,
z23yh1rhqpv1dd2t3acdp432np3uea43wtrwwwk5mitw03c010c,Ning Tian,4 days ago,1506195774056,刚翻墙上来。现在微博都没法看。还有综艺节目极限挑战也被禁播了。,0,false,0,,,,,,
z22ncv0huk34yt4xu04t1aokgnki0pqlpgnnkvu10tywbk0h00410,JI LI,4 days ago,1506195774060,"从不看锵锵3人行，关了就关了吧。(￣▽￣)""",0,false,0,,,,,,
z22hgtdp3trhh1bob04t1aokgznqsyyeljormvjpztbibk0h00410,木林林,4 days ago,1506195774063,你们都猜错啦，从郭的爆料去看王芳的微博，她说敦刻尔克撤退发生在中国，飞飞出来批评她了，老孟立马给芳芳出气，把飞飞封了。同一时间，锵锵最后一期说的也是敦刻尔克，因此莫名其妙成了垫背的。这是最直接原因，敦刻尔克大撤退。呵呵呵,0,false,0,,,,,,
z23fwjq54neghtcsracdp434t5bdsug0zkqcukugdslw03c010c,Amy Hu,4 days ago,1506195774067,我没觉得锵锵三人行有多麽针砭时弊，它现在都成了闲扯节目了，为什么要紧张成这样呢？,0,false,0,,,,,,
z22ytzrhhoe1t502xacdp431x5o2rjjxdykws2wlbrxw03c010c,姜春琦,4 days ago,1506195774070,尹珊珊被开除  貌似是谣言,0,false,0,,,,,,
