id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z13cxbgyerugst55e04cdtv54waafrdpxms0k,nok ayu Mutiara82,7 months ago,1488225483745,Sub egs plese,1,false,0,,,,,,
z13qhdji0nrbihtmx23dg1pavnrpcvmac04,jazmine j,7 months ago,1488225483750,A.D. THATS EXACTLY WHAT I SAID WITH OUT BEING SO CRAZE.😞,0,false,0,,,,,,
z12ve3wrlze4fdgvl23dsdaawz3lv3lqd04,go kwek,7 months ago,1488225483756,很好看吧,1,false,0,,,,,,
z12tz1prgtekyn330231xtyo5vaejzsa504,Eunice Bechtel,8 months ago,1485547084936,No English sub??? 😩😩😩😩😩😩,4,false,0,,,,,,
z131gtv5yomhhd2zq04cil4z3yidebk5p5w,毛球,8 months ago,1485547084942,我是回來重看的,46,true,8,,,,,,
,,,,,,,,z131gtv5yomhhd2zq04cil4z3yidebk5p5w.1498042338091715,吳詠欣,3 months ago,1498593486712,秋彥宇佐見 我也是,0
,,,,,,,,z131gtv5yomhhd2zq04cil4z3yidebk5p5w.1499232041699544,a0923573778,2 months ago,1501185486742,me too,0
,,,,,,,,z131gtv5yomhhd2zq04cil4z3yidebk5p5w.1499261076674377,謝佳慧,2 months ago,1501185486743,秋彥宇佐見 我也是,0
,,,,,,,,z131gtv5yomhhd2zq04cil4z3yidebk5p5w.1499956766346108,Chew Yi Chen,2 months ago,1501185486745,I also,0
,,,,,,,,z131gtv5yomhhd2zq04cil4z3yidebk5p5w.1500153993111165,TF Boys,2 months ago,1501185486747,秋彥宇佐見 me too 看iceice,1
,,,,,,,,z131gtv5yomhhd2zq04cil4z3yidebk5p5w.1500473734857388,Gan Leefong,2 months ago,1501185486749,秋彥宇佐見 我也是,4
,,,,,,,,z131gtv5yomhhd2zq04cil4z3yidebk5p5w.1500645149788265,Ina lin,2 months ago,1501185486750,0k,1
,,,,,,,,z131gtv5yomhhd2zq04cil4z3yidebk5p5w.1501138946574469,夜刀神十香,2 months ago,1501185486752,武则天是我对感兴趣的历史人物，所以也回来重看了,1
z12njz4jenidcd02j23dg1pavnrpcvmac04,jazmine j,9 months ago,1482868684946,"YOU HAD TO BE DEAF , BLIND AND IGORANT NOT TO SEE THE EMPEROR WAS self center almost to the point of aspergers.  He was totally into playing the game and the empress did it well and that's why he kept her dangling but luckily she was a player too.",6,true,2,,,,,,
,,,,,,,,z12njz4jenidcd02j23dg1pavnrpcvmac04.1484923947120350,Ah Hor Teoh,8 months ago,1485547086694,jazmine j u,1
,,,,,,,,z12njz4jenidcd02j23dg1pavnrpcvmac04.1486976637604921,Adrijana Radosevic,7 months ago,1488225486696,"....well, that's how you fuck up males: by leading them for their cocks! XD He got some pussy, she got AN EMPIRE and everything else he had XD",3
z130ivqzeoaofjiqa04cihoijualz1owqj4,i zara,9 months ago,1482868684949,no eng subs? 😟,7,true,2,,,,,,
,,,,,,,,z130ivqzeoaofjiqa04cihoijualz1owqj4.1504185550418727,Rem,3 weeks ago,1504727886685,i zara Luckily I know a bit of chinese,1
,,,,,,,,z130ivqzeoaofjiqa04cihoijualz1owqj4.1505585638965487,Emily,1 week ago,1505937486687,kissasian might have english subs? i'm not sure since its mostly korean tv shows that gets subbed :(,0
z13wuxaheujmv124n04cd5ordur4fnnbp0o,퀴아오정,9 months ago,1482868684952,我就问床戏多不多,5,false,0,,,,,,
z12uvf5ictmugjokq223db4jgr34ytc2j,武媚娘,11 months ago,1477598284956,哈哈,11,false,0,,,,,,
