id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z22zwhzyumqsj3csnacdp430odmhquw5sto0dbgtc1xw03c010c,layme bandilla,7 hours ago,1506516886594,Omg!!! :-) hahaha,0,false,0,,,,,,
z22exhwhepqtdfnp404t1aokgz31ulhpekldjcdmcskprk0h00410,Tinnie Lee,1 day ago,1506455686597,话说大师兄也太窝囊了吧，比浅浅先拜的师，这么多年了，怎么还是上仙啊？,0,true,1,,,,,,
,,,,,,,,z22exhwhepqtdfnp404t1aokgz31ulhpekldjcdmcskprk0h00410.1506404942130158,doubao0077,1 day ago,1506455687014,白浅是得到母亲渡了一半修为才升得快,0
z22exhwhepqtdfnp404t1aokg1n3v2bosqgxdiipu3cjbk0h00410,Tinnie Lee,1 day ago,1506455686601,握草握草握草！！初恋男友 + 前未婚夫 + 孩子他爹…… 东海水君这造的是什么孽啊！把这堆人全请来了……好一场鸿门宴啊！,0,false,0,,,,,,
z22bvtyzmnfrwxnveacdp435gjchj1btdqai3pwgtmxw03c010c,geneveperez,2 days ago,1506369286603,"Raia moraven  Totally agree w you, such a beautifully written drama, the leads , the supporting cast , I'm going to watch it again!",0,false,0,,,,,,
z22jcn1p3vuvddzvdacdp434zp2yourrpplk4wiy0vdw03c010c,Ara Jo,2 days ago,1506369286607,중국어 배우고 싶어요~,0,false,0,,,,,,
z22dhh3pjzazvrvbw04t1aokgjk5nox3gqphvkq5iyhirk0h00410,Jane Falicao,3 days ago,1506282886610,I want to know whats the title of that song.the one played when  he catch her from falling the tree,1,true,2,,,,,,
,,,,,,,,z22dhh3pjzazvrvbw04t1aokgjk5nox3gqphvkq5iyhirk0h00410.1506314031408448,Venus Ara,2 days ago,1506369287006,"That song is the ending credit song of each episode. It's been played countless times throughout the drama. :) In English it is called Bracing the Chills by Zhang Bichen and Aska Yang. It is really called Liang Liang, in Chinese it means cold. lol 
https://www.youtube.com/watch?time_continue=197&v=CysoeM5Z4AU",1
,,,,,,,,z22dhh3pjzazvrvbw04t1aokgjk5nox3gqphvkq5iyhirk0h00410.1506314297866960,Jane Falicao,2 days ago,1506369287008,Venus Ara thanks,0
z23pc30gboakw3s3zacdp430xhlzpppjnayot3brg1pw03c010c,xiaoyan huang,3 days ago,1506282886614,浅浅啊！不要骗小孩子,0,false,0,,,,,,
