id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z22vjj2p0mrjvpfm4acdp435twpowu2kf2tbdhpj31dw03c010c,Juliana Krone,6 days ago,1506022863097,"zhè shì yī chǎng méiyǒu jiéjú de biǎoyǎn

bāohán suǒyǒu huāngmiù hé fēngkuáng

xiàng gè háizi yīyàng mǎnhuái bēishāng

jìngqiāoqiāo dì shúshuì zài dàdì shàng

 

xiànzài wǒ yǒuxiē juàn le

juàn dé xiàng yī duǒ bèi fēng zhéduàn de yěhuā

suǒyǐ wǒ kāishǐ biàn le

biànde xiàng yī tuán gǔndòng chìrè de huāhuǒ

 

kàn zhe yǎnqián huānxiào jiāo'ào de rénqún

xīnzhōng fàn qǐ xiōngyǒng de lànghuā

tiào zhe fàngdàng de wǔdǎo chuānxíng zài kuàngyě

gǎndào kuángyě ér pòsuì de huīhuáng

 

xiànzài wǒ yǒuxiē zuì le

zuì dé xiàng yī zhǐ zhǎobudào fāngxiàng de yě gē

 

suǒyǐ wǒ kāishǐ biàn le

biànde xiàng yī tuán bàoliè chìrè de huāhuǒ",0,false,0,,,,,,
z121cpcafk3se3xs522et5qbcyrmvxnxe04,陳馨,3 months ago,1498592463103,超喜歡貝貝的翻唱,2,false,0,,,,,,
z13eyvybarygdt4qs04cglagppasgdmytsc0k,MASON KH,4 months ago,1495914063140,聽了貝貝的再來聽一次汪老師的,3,true,1,,,,,,
,,,,,,,,z13eyvybarygdt4qs04cglagppasgdmytsc0k.1493586370448986,風神,4 months ago,1495914063593,me too,0
z13girdx3znfwlxv122chnnr1w2evjr1e,Carsten Beckhaus,5 months ago,1493322063144,👍👍👍👍👍👍👍,0,false,0,,,,,,
z12tvxhz2rmrxrmth23lgbixqkavsxqwf04,fuckeer2005,8 months ago,1485546063147,"花火

作詞：汪峰
作曲：汪峰

這是一場沒有結局的表演
包含所有荒謬和瘋狂
像個孩子一樣滿懷悲傷
靜悄悄地熟睡在大地上

現在我有些倦了
倦得像一朵被風折斷的野花
所以我開始變了
變得像一團滾動熾熱的花火

看著眼前歡笑驕傲的人群
心中泛起洶湧的浪花
跳著放蕩的舞蹈穿行在曠野
感到狂野而破碎的輝煌

現在我有些醉了
醉得像一隻找不到方向的野鴿
所以我開始變了
變得像一團暴烈熾熱的花火

藍色的夢睡在靜靜駛過的小車裡
漂亮的孩子迷失在小路上
這是一個永恆美麗的生活
沒有眼淚　沒有哀傷

現在我有些倦了
倦得像一朵被風折斷的野花
所以我開始變了
變得像一團滾動熾熱的花火

現在我有些醉了
醉得像一隻找不到方向的野鴿
所以我開始變了
變得像一團暴烈熾熱的花火",4,false,0,,,,,,
z121whoztlutxfodx22qtl1rgkz5c1r4l04,twbbshp,11 months ago,1477597263150,中國人,2,true,1,,,,,,
,,,,,,,,z121whoztlutxfodx22qtl1rgkz5c1r4l04.1479811619901645,Osman Arslan,10 months ago,1480275663531,"yes,",1
z13zilmjlv3zcphij04cc3wq5sr2hryrkbc,Axturiaxx Camvi,1 year ago,1475005263153,"Some history of this song, pls!",0,true,2,,,,,,
,,,,,,,,z13zilmjlv3zcphij04cc3wq5sr2hryrkbc.1492956824271483,Alex Tam,5 months ago,1493322063606,"Hua Huo (花火, meaning ""firework""), by Wang Feng (汪峰)",1
,,,,,,,,z13zilmjlv3zcphij04cc3wq5sr2hryrkbc.1506476969618393,Sherry Shao,17 hours ago,1506480063608,"google translate here.
This is a no ending performance
Include all ridiculous and crazy
Like a child full of sadness
Quietly sleeping on the earth

Now I'm tired of it
Tired like a broken wild flowers by the wind
So I started to change
Become like a group of rolling hot fire

Look at the front of the crowd proud of laughing
The hearts of the surging waves
Dancing in the wilderness
Feel wild and broken brilliant

Now I'm drunk
Drunk like a wild pigeon that can not find the direction
So I started to change
Become like a group of violent hot fire

Blue dream sleep in the quietly passing the car
Beautiful children lost on the path
This is an eternal beauty of life
No tears without sorrow

Now I'm tired of it
Tired like a broken wild flowers by the wind
So I started to change
Become like a group of rolling hot fire

Now I'm drunk
Drunk like a wild pigeon that can not find the direction
So I started to change
Become like a group of violent hot fire",0
z13iydtbkurwfzo0b23idvwg3oujtlcq104,Chin Zheng Jie,1 year ago,1475005263156,貝貝 我愛你 !,4,false,0,,,,,,
z135i3e5zqrec15rm04cjnqojr2ygnkrqnk0k,ส้มส้ม เลาลี,1 year ago,1475005263159,เพราะดี,1,false,0,,,,,,
z12msfqrpra3uhmnh22uhtpictf5dhupf04,Mr14hidalgo,1 year ago,1475005263162,what's the name of this singer?,0,true,7,,,,,,
,,,,,,,,z12msfqrpra3uhmnh22uhtpictf5dhupf04.1470073220851904,志勇邓,1 year ago,1475005263549,wang fei,0
,,,,,,,,z12msfqrpra3uhmnh22uhtpictf5dhupf04.1470078269269014,Mr14hidalgo,1 year ago,1475005263551,"+志勇邓 thanks,it's a nice song.",0
,,,,,,,,z12msfqrpra3uhmnh22uhtpictf5dhupf04.1470152253512948,志勇邓,1 year ago,1475005263553,HIS CHINESE NAME IS 汪峰+Mr14hidalgo,0
,,,,,,,,z12msfqrpra3uhmnh22uhtpictf5dhupf04.1470276837748736,Simon Xie,1 year ago,1475005263555,"correct singer name: Wang Feng 汪峰 

Song name: Floral Fire 花火",0
,,,,,,,,z12msfqrpra3uhmnh22uhtpictf5dhupf04.1470314025421370,Mr14hidalgo,1 year ago,1475005263582,"+Simon Xie thanks 
i try to found this song with Lyrics in english.",0
,,,,,,,,z12msfqrpra3uhmnh22uhtpictf5dhupf04.1475977174816305,Q Q,11 months ago,1477597263584,Fireworks is the name of song in English.,1
,,,,,,,,z12msfqrpra3uhmnh22uhtpictf5dhupf04.1485807307422923,Clara Rueda,7 months ago,1488224463586,Did u find the song with lyrics pronunciation?,0
z12bzjmo4lzwidj1422sf1jq4kj4yriuv,Justin Lin,1 year ago,1475005263165,好聽。,1,false,0,,,,,,
z12yvziyfzbtitiw104cfnvrakj2t3j42x00k,finn vander,1 year ago,1475005263168,od pixl DansGame,0,false,0,,,,,,
z13dgjbqgyq2ujkds22fdzto4zrnftopn04,chris chan,2 years ago,1443382863171,最喜歡貝貝,17,false,0,,,,,,
z13bwntoyu2nt1ul423yhxnijqn2ypmsa,張芸,3 years ago,1411846863174,我最喜歡這首歌了！,14,false,0,,,,,,
z23dixo4moz5hxxxr04t1aokgovkhrd45uqqwlyjxtybbk0h00410,Feifei Lin,4 years ago,1380310863177,"作詞：汪峰
    作曲：汪峰

    這是一場沒有結局的表演
    包含所有荒謬和瘋狂
    像個孩子一樣滿懷悲傷
    靜悄悄地熟睡在大地上

    現在我有些倦了
    倦得像一朵被風折斷的野花
    所以我開始變了
    變得像一團滾動熾熱的花火

    看著眼前歡笑驕傲的人群
    心中泛起洶湧的浪花
    跳著放蕩的舞蹈穿行在曠野
    感到狂野而破碎的輝煌

    現在我有些醉了
    醉得像一隻找不到方向的野鴿
    所以我開始變了
    變得像一團暴烈熾熱的花火

    藍色的夢睡在靜靜駛過的小車裡
    漂亮的孩子迷失在小路上
    這是一個永恆美麗的生活
    沒有眼淚　沒有哀傷

    現在我有些倦了
    倦得像一朵被風折斷的野花
    所以我開始變了
    變得像一團滾動熾熱的花火

    現在我有些醉了
    醉得像一隻找不到方向的野鴿
    所以我開始變了
    變得像一團暴烈熾熱的花火",2,true,2,,,,,,
,,,,,,,,z23dixo4moz5hxxxr04t1aokgovkhrd45uqqwlyjxtybbk0h00410.1480647555367169,劉祐誠,9 months ago,1482867663509,Feifei Lin,0
,,,,,,,,z23dixo4moz5hxxxr04t1aokgovkhrd45uqqwlyjxtybbk0h00410.1482670041869537,Che Hao Chang,9 months ago,1482867663511,Feifei Lin ㄕ,0
