id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies
z23iztd5ovyithzddacdp434g1nkzlio5joih1toictw03c010c,Peterson Alves,6 years ago,1317153589339,"Obina falando ""Vamo"" 4:40 ...

Meu deus.... é logico, os chineses vao entender o ""Vamo""... ¬¬",0,false,0
z22lxfiy4kmqwf5v0acdp43abeuwv32b3mskiwvsf2lw03c010c,Diego Santos,6 years ago,1317153589342,humm ele cabeceou de olhos fechados !! o.0,0,false,0
z23gib5zowjjyzshr04t1aokgiboc5ywaxzmugnhb55hrk0h00410,Fabrício Eduardo,6 years ago,1317153589345,O obina so era bom pra fazer gol no cruzeiro mesmo.,0,false,0
z23wvhybrouudxgye04t1aokg5tr4jzu3xpvyy1yt20qrk0h00410,Ricardo Albuquerque,6 years ago,1317153589348,é.. realmente falta feijão lá...,0,false,0
z235ud5hvon1unzqf04t1aokgu1hna52vvdg1tzquamjbk0h00410,Marvin Silva,6 years ago,1317153589351,ee rapa o kara ja jogo muita bola!!!,0,false,0
z23tc3njburhuvkcuacdp434kxvzew3ykvr5q51vol1w03c010c,TheSuperFodao,6 years ago,1317153589355,"Aos 5:22 obina faz o famoso ""tirando o perigo da área""",0,false,0
z23ud1p5htfcfr2zf04t1aokgy4rmquhyskrdacnodeibk0h00410,decaoeu,6 years ago,1317153589358,Concerteza 津泰达3比1山东鲁能-全场比赛集锦,0,false,0
z22ozt3xjozjst3siacdp43a04htsstbpbqy2vn0qstw03c010c,Luca Luz,6 years ago,1317153589361,q bosta de jogo...SO MTO MAIS BARCELONA x REAL MADRID,0,false,0
z22cdngajmris1ijl04t1aokgmm55s4osty5phjq31brbk0h00410,Rodrigo Marques,6 years ago,1317153589947,niguen ve o meu canal puta que paril,0,false,0
z22ksdmg3yawetqssacdp43brosfqighlvfifc3uduhw03c010c,Real Talk with Anele 2017,6 years ago,1317153589951,"KKKKK OS KARA PARECE TUDOO IRMÃAO TEEM TUDO A MESMA CARAA, VAI SE FUDE ESSES FDP CHINEIS SAO MT FEIO PQP",0,false,0
z22idvirsy2ten21tacdp43a54b2k13ngt5b1i2zootw03c010c,michel spearkson,6 years ago,1317153589954,OLHA MEU CANAL PELO AMOR DE DEUS,0,false,0
z22qxjligwyqttnz104t1aokg4mgy2tehfooiupvsuj2bk0h00410,Everson Ferreira,6 years ago,1317153589957,é japonês ...,0,false,0
z23ed3ua2n3keh5s5acdp43aailst0mrdi4j0biy33tw03c010c,elshek l,6 years ago,1317153589960,"OUÇA UMA MÚSICA DA HORA:
/watch?v=RpR7Wkc37kM&feature=youtu.be&a",0,false,0
z23iznijbrimd3hij04t1aokgjhvlkh5pkfmhpqbkjh0bk0h00410,Rafael Duarte,6 years ago,1317153589964,o povo fei,0,false,0
z23hsdf5unrpjbbzf04t1aokgajdqz1o2kctr5ywcug4rk0h00410,OiTudoBele,6 years ago,1317153589968,KKKKKKKKKKKKKKKK RI PAC RALHO,0,false,0
